Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"IEEE TRANSACTIONS ON FUZZY SYSTEMS","IEEE T FUZZY SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1063-6706","1941-0034","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","25,484","10.7","Q1","2.91","4.57"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","20,821","10.7","Q1","2.47","28.44"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","20,821","10.7","Q1","2.47","28.44"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL","SCIE","20,821","10.7","Q1","2.47","28.44"%,
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","ELSEVIER","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","20,821","10.7","Q1","2.47","28.44"%,
"DEVELOPMENTAL CELL","DEV CELL","CELL PRESS","1534-5807","1878-1551","CELL BIOLOGY","SCIE","33,264","10.7","Q1","2.41","33.1"%,
"DEVELOPMENTAL CELL","DEV CELL","CELL PRESS","1534-5807","1878-1551","DEVELOPMENTAL BIOLOGY","SCIE","33,264","10.7","Q1","2.41","33.1"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","BIOPHYSICS","SCIE","74,822","10.7","Q1","2.37","8.12"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","74,822","10.7","Q1","2.37","8.12"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","CHEMISTRY, ANALYTICAL","SCIE","74,822","10.7","Q1","2.37","8.12"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","ELECTROCHEMISTRY","SCIE","74,822","10.7","Q1","2.37","8.12"%,
"BIOSENSORS & BIOELECTRONICS","BIOSENS BIOELECTRON","ELSEVIER ADVANCED TECHNOLOGY","0956-5663","1873-4235","NANOSCIENCE & NANOTECHNOLOGY","SCIE","74,822","10.7","Q1","2.37","8.12"%,
"Carbohydrate Polymers","CARBOHYD POLYM","ELSEVIER SCI LTD","0144-8617","1879-1344","CHEMISTRY, APPLIED","SCIE","131,594","10.7","Q1","2.34","7.97"%,
"Carbohydrate Polymers","CARBOHYD POLYM","ELSEVIER SCI LTD","0144-8617","1879-1344","CHEMISTRY, ORGANIC","SCIE","131,594","10.7","Q1","2.34","7.97"%,
"Carbohydrate Polymers","CARBOHYD POLYM","ELSEVIER SCI LTD","0144-8617","1879-1344","POLYMER SCIENCE","SCIE","131,594","10.7","Q1","2.34","7.97"%,
"Asian Journal of Pharmaceutical Sciences","ASIAN J PHARM SCI","SHENYANG PHARMACEUTICAL UNIV","1818-0876","1818-0876","PHARMACOLOGY & PHARMACY","SCIE","4,320","10.7","Q1","2.14","95.51"%,
"Redox Biology","REDOX BIOL","ELSEVIER","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","28,047","10.7","Q1","2.07","95.9"%,
"MedComm","MEDCOMM","WILEY","N/A","2688-2663","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,737","10.7","Q1","1.67","81.39"%,
"Green Energy & Environment","GREEN ENERGY ENVIRON","KEAI PUBLISHING LTD","2096-2797","2468-0257","CHEMISTRY, PHYSICAL","SCIE","5,277","10.7","Q1","1.65","93.39"%,
"Green Energy & Environment","GREEN ENERGY ENVIRON","KEAI PUBLISHING LTD","2096-2797","2468-0257","ENERGY & FUELS","SCIE","5,277","10.7","Q1","1.65","93.39"%,
"Green Energy & Environment","GREEN ENERGY ENVIRON","KEAI PUBLISHING LTD","2096-2797","2468-0257","ENGINEERING, CHEMICAL","SCIE","5,277","10.7","Q1","1.65","93.39"%,
"Green Energy & Environment","GREEN ENERGY ENVIRON","KEAI PUBLISHING LTD","2096-2797","2468-0257","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","5,277","10.7","Q1","1.65","93.39"%,
"ARTIFICIAL INTELLIGENCE REVIEW","ARTIF INTELL REV","SPRINGER","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","13,053","10.7","Q1","1.61","17.28"%,
"EcoMat","ECOMAT","WILEY","N/A","2567-3173","CHEMISTRY, PHYSICAL","SCIE","2,938","10.7","Q1","1.5","91.2"%,
"EcoMat","ECOMAT","WILEY","N/A","2567-3173","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","2,938","10.7","Q1","1.5","91.2"%,
"EcoMat","ECOMAT","WILEY","N/A","2567-3173","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","2,938","10.7","Q1","1.5","91.2"%,
"Small Methods","SMALL METHODS","WILEY-V C H VERLAG GMBH","2366-9608","2366-9608","CHEMISTRY, PHYSICAL","SCIE","17,184","10.7","Q1","1.3","17.13"%,
"Small Methods","SMALL METHODS","WILEY-V C H VERLAG GMBH","2366-9608","2366-9608","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","17,184","10.7","Q1","1.3","17.13"%,
"Small Methods","SMALL METHODS","WILEY-V C H VERLAG GMBH","2366-9608","2366-9608","NANOSCIENCE & NANOTECHNOLOGY","SCIE","17,184","10.7","Q1","1.3","17.13"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","ELSEVIER","0924-2716","1872-8235","GEOGRAPHY, PHYSICAL","SCIE","26,853","10.6","Q1","2.63","24.35"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","ELSEVIER","0924-2716","1872-8235","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","26,853","10.6","Q1","2.63","24.35"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","ELSEVIER","0924-2716","1872-8235","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","26,853","10.6","Q1","2.63","24.35"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","ELSEVIER","0924-2716","1872-8235","REMOTE SENSING","SCIE","26,853","10.6","Q1","2.63","24.35"%,
"JOURNAL OF NANOBIOTECHNOLOGY","J NANOBIOTECHNOL","BMC","N/A","1477-3155","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","19,691","10.6","Q1","1.71","99.79"%,
"JOURNAL OF NANOBIOTECHNOLOGY","J NANOBIOTECHNOL","BMC","N/A","1477-3155","NANOSCIENCE & NANOTECHNOLOGY","SCIE","19,691","10.6","Q1","1.71","99.79"%,
"Annual Review of Food Science and Technology","ANNU REV FOOD SCI T","ANNUAL REVIEWS","1941-1413","1941-1421","FOOD SCIENCE & TECHNOLOGY","SCIE","3,754","10.6","Q1","1.31","32.86"%,
"Annual Review of Materials Research","ANNU REV MATER RES","ANNUAL REVIEWS","1531-7331","1545-4118","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","8,349","10.6","Q1","0.6","33.9"%,
"AMERICAN ECONOMIC REVIEW","AM ECON REV","AMER ECONOMIC ASSOC","0002-8282","1944-7981","ECONOMICS","SSCI","73,404","10.5","Q1","3.7","0"%,
"Perspectives on Psychological Science","PERSPECT PSYCHOL SCI","SAGE PUBLICATIONS LTD","1745-6916","1745-6924","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","16,431","10.5","Q1","3.69","30.35"%,
"JAMA Network Open","JAMA NETW OPEN","AMER MEDICAL ASSOC","2574-3805","2574-3805","MEDICINE, GENERAL & INTERNAL","SCIE","58,173","10.5","Q1","2.78","99.93"%,
"PLOS MEDICINE","PLOS MED","PUBLIC LIBRARY SCIENCE","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL","SCIE","42,386","10.5","Q1","2.57","99.53"%,
"International Journal of Transgender Health","INT J TRANSGEND HEAL","TAYLOR & FRANCIS INC","2689-5269","2689-5277","PSYCHOLOGY, CLINICAL","SSCI","1,261","10.5","Q1","2.56","34.09"%,
"International Journal of Transgender Health","INT J TRANSGEND HEAL","TAYLOR & FRANCIS INC","2689-5269","2689-5277","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,261","10.5","Q1","2.56","34.09"%,
"International Journal of Transgender Health","INT J TRANSGEND HEAL","TAYLOR & FRANCIS INC","2689-5269","2689-5277","SOCIAL SCIENCES, BIOMEDICAL","SSCI","1,261","10.5","Q1","2.56","34.09"%,
"International Journal of Transgender Health","INT J TRANSGEND HEAL","TAYLOR & FRANCIS INC","2689-5269","2689-5277","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","1,261","10.5","Q1","2.56","34.09"%,
"Journal of Business Research","J BUS RES","ELSEVIER SCIENCE INC","0148-2963","1873-7978","BUSINESS","SSCI","75,004","10.5","Q1","2.19","19.87"%,
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","ELSEVIER","0168-3659","1873-4995","CHEMISTRY, MULTIDISCIPLINARY","SCIE","66,131","10.5","Q1","2.1","15.42"%,
"JOURNAL OF CONTROLLED RELEASE","J CONTROL RELEASE","ELSEVIER","0168-3659","1873-4995","PHARMACOLOGY & PHARMACY","SCIE","66,131","10.5","Q1","2.1","15.42"%,
"Sustainable Cities and Society","SUSTAIN CITIES SOC","ELSEVIER","2210-6707","2210-6715","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","40,590","10.5","Q1","1.92","14.12"%,
"Sustainable Cities and Society","SUSTAIN CITIES SOC","ELSEVIER","2210-6707","2210-6715","ENERGY & FUELS","SCIE","40,590","10.5","Q1","1.92","14.12"%,
"Sustainable Cities and Society","SUSTAIN CITIES SOC","ELSEVIER","2210-6707","2210-6715","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","40,590","10.5","Q1","1.92","14.12"%,
"Cyborg and Bionic Systems","CYBORG BIONIC SYST","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2692-7632","ENGINEERING, BIOMEDICAL","ESCI","669","10.5","Q1","1.82","87.76"%,
"Cyborg and Bionic Systems","CYBORG BIONIC SYST","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2692-7632","ROBOTICS","ESCI","669","10.5","Q1","1.82","87.76"%,
"CARBON","CARBON","PERGAMON-ELSEVIER SCIENCE LTD","0008-6223","1873-3891","CHEMISTRY, PHYSICAL","SCIE","98,707","10.5","Q1","1.77","9.31"%,
"CARBON","CARBON","PERGAMON-ELSEVIER SCIENCE LTD","0008-6223","1873-3891","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","98,707","10.5","Q1","1.77","9.31"%,
"npj Clean Water","NPJ CLEAN WATER","NATURE PORTFOLIO","2059-7037","2059-7037","ENGINEERING, CHEMICAL","SCIE","2,576","10.5","Q1","1.47","99.46"%,
"npj Clean Water","NPJ CLEAN WATER","NATURE PORTFOLIO","2059-7037","2059-7037","ENVIRONMENTAL SCIENCES","SCIE","2,576","10.5","Q1","1.47","99.46"%,
"npj Clean Water","NPJ CLEAN WATER","NATURE PORTFOLIO","2059-7037","2059-7037","WATER RESOURCES","SCIE","2,576","10.5","Q1","1.47","99.46"%,
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","PERGAMON-ELSEVIER SCIENCE LTD","0160-7383","1873-7722","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","17,807","10.4","Q1","3.44","28.29"%,
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","PERGAMON-ELSEVIER SCIENCE LTD","0160-7383","1873-7722","SOCIOLOGY","SSCI","17,807","10.4","Q1","3.44","28.29"%,
"Genome Medicine","GENOME MED","BMC","1756-994X","1756-994X","GENETICS & HEREDITY","SCIE","12,043","10.4","Q1","2.99","100"%,
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","ELSEVIER SCIENCE SA","0304-405X","N/A","BUSINESS, FINANCE","SSCI","51,939","10.4","Q1","2.97","9.82"%,
"JOURNAL OF FINANCIAL ECONOMICS","J FINANC ECON","ELSEVIER SCIENCE SA","0304-405X","N/A","ECONOMICS","SSCI","51,939","10.4","Q1","2.97","9.82"%,
"CARDIOVASCULAR RESEARCH","CARDIOVASC RES","OXFORD UNIV PRESS","0008-6363","1755-3245","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","26,713","10.4","Q1","2.62","38.25"%,
"CLINICAL CANCER RESEARCH","CLIN CANCER RES","AMER ASSOC CANCER RESEARCH","1078-0432","1557-3265","ONCOLOGY","SCIE","93,702","10.4","Q1","2.52","30.65"%,
"Journal of Industrial Information Integration","J IND INF INTEGR","ELSEVIER","2467-964X","2452-414X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,955","10.4","Q1","2.35","20.45"%,
"Journal of Industrial Information Integration","J IND INF INTEGR","ELSEVIER","2467-964X","2452-414X","ENGINEERING, INDUSTRIAL","SCIE","2,955","10.4","Q1","2.35","20.45"%,
"Pulmonology","PULMONOLOGY","ELSEVIER","2531-0437","2531-0437","RESPIRATORY SYSTEM","SCIE","1,384","10.4","Q1","2.11","97.46"%,
"Annual Review of Biophysics","ANNU REV BIOPHYS","ANNUAL REVIEWS","1936-122X","1936-1238","BIOPHYSICS","SCIE","3,807","10.4","Q1","2.09","38.36"%,
"Science China-Chemistry","SCI CHINA CHEM","SCIENCE PRESS","1674-7291","1869-1870","CHEMISTRY, MULTIDISCIPLINARY","SCIE","11,795","10.4","Q1","1.51","1.24"%,
"Carbon Capture Science & Technology","CARBON CAPTURE SCI T","ELSEVIER","2772-6568","2772-6568","ENGINEERING, CHEMICAL","ESCI","880","10.4","Q1","1.18","94.37"%,
"Carbon Capture Science & Technology","CARBON CAPTURE SCI T","ELSEVIER","2772-6568","2772-6568","ENGINEERING, ENVIRONMENTAL","ESCI","880","10.4","Q1","1.18","94.37"%,
"Carbon Capture Science & Technology","CARBON CAPTURE SCI T","ELSEVIER","2772-6568","2772-6568","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","ESCI","880","10.4","Q1","1.18","94.37"%,
"JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY","J AM SOC NEPHROL","AMER SOC NEPHROLOGY","1046-6673","1533-3450","UROLOGY & NEPHROLOGY","SCIE","40,657","10.3","Q1","4.18","5.62"%,
"JACC-Heart Failure","JACC-HEART FAIL","ELSEVIER SCI LTD","2213-1779","2213-1787","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","8,060","10.3","Q1","3.03","27.6"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","BMJ PUBLISHING GROUP","N/A","2051-1426","IMMUNOLOGY","SCIE","26,771","10.3","Q1","2.02","98.98"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","BMJ PUBLISHING GROUP","N/A","2051-1426","ONCOLOGY","SCIE","26,771","10.3","Q1","2.02","98.98"%,
"Additive Manufacturing","ADDIT MANUF","ELSEVIER","2214-8604","2214-7810","ENGINEERING, MANUFACTURING","SCIE","38,422","10.3","Q1","1.96","21.36"%,
"Additive Manufacturing","ADDIT MANUF","ELSEVIER","2214-8604","2214-7810","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","38,422","10.3","Q1","1.96","21.36"%,
"ENVIRONMENT INTERNATIONAL","ENVIRON INT","PERGAMON-ELSEVIER SCIENCE LTD","0160-4120","1873-6750","ENVIRONMENTAL SCIENCES","SCIE","62,999","10.3","Q1","1.9","97.08"%,
"IEEE Computational Intelligence Magazine","IEEE COMPUT INTELL M","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1556-603X","1556-6048","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,957","10.3","Q1","1.76","0"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","60,495","10.2","Q1","2.42","4.37"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","60,495","10.2","Q1","2.42","4.37"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388","COMPUTER SCIENCE, THEORY & METHODS","SCIE","60,495","10.2","Q1","2.42","4.37"%,
"IEEE Transactions on Neural Networks and Learning Systems","IEEE T NEUR NET LEAR","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2162-237X","2162-2388","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","60,495","10.2","Q1","2.42","4.37"%,
"Journal of Supply Chain Management","J SUPPLY CHAIN MANAG","WILEY","1523-2409","1745-493X","MANAGEMENT","SSCI","3,595","10.2","Q1","2.09","49.02"%,
"Virtual and Physical Prototyping","VIRTUAL PHYS PROTOTY","TAYLOR & FRANCIS LTD","1745-2759","1745-2767","ENGINEERING, MANUFACTURING","SCIE","3,481","10.2","Q1","1.85","74.12"%,
"Virtual and Physical Prototyping","VIRTUAL PHYS PROTOTY","TAYLOR & FRANCIS LTD","1745-2759","1745-2767","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","3,481","10.2","Q1","1.85","74.12"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","13,005","10.2","Q1","1.47","24.43"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","CHEMISTRY, MEDICINAL","SCIE","13,005","10.2","Q1","1.47","24.43"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","CHEMISTRY, ORGANIC","SCIE","13,005","10.2","Q1","1.47","24.43"%,
"Journal of High Energy Astrophysics","J HIGH ENERGY ASTROP","ELSEVIER","2214-4048","2214-4056","ASTRONOMY & ASTROPHYSICS","SCIE","1,071","10.2","Q1","1.3","17.98"%,
"TECHNOLOGY IN SOCIETY","TECHNOL SOC","ELSEVIER SCI LTD","0160-791X","1879-3274","SOCIAL ISSUES","SSCI","11,841","10.1","Q1","4.75","21.32"%,
"TECHNOLOGY IN SOCIETY","TECHNOL SOC","ELSEVIER SCI LTD","0160-791X","1879-3274","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","11,841","10.1","Q1","4.75","21.32"%,
"Engineering","ENGINEERING-PRC","ELSEVIER","2095-8099","2096-0026","ENGINEERING, MULTIDISCIPLINARY","SCIE","10,187","10.1","Q1","2.83","94.03"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","67,310","10.1","Q1","2.78","99.41"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","GENETICS & HEREDITY","SCIE","67,310","10.1","Q1","2.78","99.41"%,
"EDUCATIONAL PSYCHOLOGY REVIEW","EDUC PSYCHOL REV","SPRINGER/PLENUM PUBLISHERS","1040-726X","1573-336X","PSYCHOLOGY, EDUCATIONAL","SSCI","10,009","10.1","Q1","2.49","48.65"%,
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924","ENVIRONMENTAL SCIENCES","SCIE","39,218","10.1","Q1","2.41","89.64"%,
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","39,218","10.1","Q1","2.41","89.64"%,
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE","0091-6765","1552-9924","TOXICOLOGY","SCIE","39,218","10.1","Q1","2.41","89.64"%,
"European Review of Social Psychology","EUR REV SOC PSYCHOL","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1046-3283","1479-277X","PSYCHOLOGY, SOCIAL","SSCI","2,614","10.1","Q1","2.39","57.14"%,
"Facta Universitatis-Series Mechanical Engineering","FACTA UNIV-SER MECH","UNIV NIS","0354-2025","2335-0164","ENGINEERING, MECHANICAL","SCIE","1,372","10.1","Q1","2.38","100"%,
"AMERICAN JOURNAL OF HEMATOLOGY","AM J HEMATOL","WILEY","0361-8609","1096-8652","HEMATOLOGY","SCIE","15,830","10.1","Q1","1.84","28.92"%,
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","WILEY","0737-6782","1540-5885","BUSINESS","SSCI","8,894","10.1","Q1","1.67","59.38"%,
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","WILEY","0737-6782","1540-5885","ENGINEERING, INDUSTRIAL","SCIE","8,894","10.1","Q1","1.67","59.38"%,
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","WILEY","0737-6782","1540-5885","MANAGEMENT","SSCI","8,894","10.1","Q1","1.67","59.38"%,
"APPLIED ENERGY","APPL ENERG","ELSEVIER SCI LTD","0306-2619","1872-9118","ENERGY & FUELS","SCIE","156,342","10.1","Q1","1.62","18.01"%,
"APPLIED ENERGY","APPL ENERG","ELSEVIER SCI LTD","0306-2619","1872-9118","ENGINEERING, CHEMICAL","SCIE","156,342","10.1","Q1","1.62","18.01"%,
"FEMS MICROBIOLOGY REVIEWS","FEMS MICROBIOL REV","OXFORD UNIV PRESS","0168-6445","1574-6976","MICROBIOLOGY","SCIE","16,018","10.1","Q1","1.26","51.02"%,
"Mycosphere","MYCOSPHERE","MYCOSPHERE PRESS","2077-7000","2077-7019","MYCOLOGY","SCIE","2,198","10","Q1","4.49","95.77"%,
"Eurosurveillance","EUROSURVEILLANCE","EUR CENTRE DIS PREVENTION & CONTROL","1025-496X","1560-7917","INFECTIOUS DISEASES","SCIE","13,067","10","Q1","3.83","95.85"%,
"International Journal of Hospitality Management","INT J HOSP MANAG","ELSEVIER SCI LTD","0278-4319","1873-4693","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","21,937","10","Q1","2.74","8.8"%,
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","60,807","10","Q1","2.24","39.82"%,
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","CELL BIOLOGY","SCIE","60,807","10","Q1","2.24","39.82"%,
"PLANT CELL","PLANT CELL","OXFORD UNIV PRESS INC","1040-4651","1532-298X","PLANT SCIENCES","SCIE","60,807","10","Q1","2.24","39.82"%,
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","OXFORD UNIV PRESS INC","0027-8874","1460-2105","ONCOLOGY","SCIE","34,503","10","Q1","2.18","32.86"%,
"Materials Today Physics","MATER TODAY PHYS","ELSEVIER","2542-5293","2542-5293","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","8,644","10","Q1","2.08","6.52"%,
"Materials Today Physics","MATER TODAY PHYS","ELSEVIER","2542-5293","2542-5293","PHYSICS, APPLIED","SCIE","8,644","10","Q1","2.08","6.52"%,
"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","FRONT ECOL ENVIRON","WILEY","1540-9295","1540-9309","ECOLOGY","SCIE","12,940","10","Q1","1.88","55.69"%,
"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT","FRONT ECOL ENVIRON","WILEY","1540-9295","1540-9309","ENVIRONMENTAL SCIENCES","SCIE","12,940","10","Q1","1.88","55.69"%,
"Molecular Horticulture","MOL HORTIC","SPRINGERNATURE","2730-9401","2730-9401","HORTICULTURE","ESCI","328","10","Q1","1.49","100"%,
"Molecular Horticulture","MOL HORTIC","SPRINGERNATURE","2730-9401","2730-9401","PLANT SCIENCES","ESCI","328","10","Q1","1.49","100"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","WILEY","2192-2640","2192-2659","ENGINEERING, BIOMEDICAL","SCIE","33,243","10","Q1","1.34","20.08"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","WILEY","2192-2640","2192-2659","MATERIALS SCIENCE, BIOMATERIALS","SCIE","33,243","10","Q1","1.34","20.08"%,
"Advanced Healthcare Materials","ADV HEALTHC MATER","WILEY","2192-2640","2192-2659","NANOSCIENCE & NANOTECHNOLOGY","SCIE","33,243","10","Q1","1.34","20.08"%,
"CLINICAL NUCLEAR MEDICINE","CLIN NUCL MED","LIPPINCOTT WILLIAMS & WILKINS","0363-9762","1536-0229","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","6,483","10","Q1","1.16","16.86"%,
"Autism in Adulthood","AUTISM ADULTHOOD","MARY ANN LIEBERT, INC","2573-9581","2573-959X","PSYCHOLOGY, DEVELOPMENTAL","ESCI","1,241","9.9","Q1","2.97","9.77"%,
"Autism in Adulthood","AUTISM ADULTHOOD","MARY ANN LIEBERT, INC","2573-9581","2573-959X","REHABILITATION","ESCI","1,241","9.9","Q1","2.97","9.77"%,
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","ECONOMICS","SSCI","29,137","9.9","Q1","2.42","15.65"%,
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","29,137","9.9","Q1","2.42","15.65"%,
"Journal of Econometrics","J ECONOMETRICS","ELSEVIER SCIENCE SA","0304-4076","1872-6895","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","29,137","9.9","Q1","2.42","15.65"%,
"SUSTAINABLE DEVELOPMENT","SUSTAIN DEV","WILEY","0968-0802","1099-1719","DEVELOPMENT STUDIES","SSCI","9,688","9.9","Q1","2.4","30.24"%,
"SUSTAINABLE DEVELOPMENT","SUSTAIN DEV","WILEY","0968-0802","1099-1719","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","9,688","9.9","Q1","2.4","30.24"%,
"SUSTAINABLE DEVELOPMENT","SUSTAIN DEV","WILEY","0968-0802","1099-1719","REGIONAL & URBAN PLANNING","SSCI","9,688","9.9","Q1","2.4","30.24"%,
